Wrkr_ID,Case_Number,Reg,Off,AcctType,PaymentRecord,Payor_Receiving_Fed_Benefits,Levy_Active,LISAN_Action,Contempt_Action,Number_Emps_Currently,Emp1_End_Date,Case_Years_Open,Payor_Current_Age,PayorGender,Self_Emp,PayorPrsnPast,Month35_CSMSDue,max_paid_times,max_stopped_times,stop_times,Mean_Paid_Percent,Month1_CSMSPaid,Month2_CSMSPaid,Month3_CSMSPaid,Month4_CSMSPaid,Month5_CSMSPaid,Month6_CSMSPaid,Month7_CSMSPaid,Month8_CSMSPaid,Month9_CSMSPaid,Month10_CSMSPaid,Month11_CSMSPaid,Month12_CSMSPaid,Month13_CSMSPaid,Month14_CSMSPaid,Month15_CSMSPaid,Month16_CSMSPaid,Month17_CSMSPaid,Month18_CSMSPaid,Month19_CSMSPaid,Month20_CSMSPaid,Month21_CSMSPaid,Month22_CSMSPaid,Month23_CSMSPaid,Month24_CSMSPaid,Month25_CSMSPaid,Month26_CSMSPaid,Month27_CSMSPaid,Month28_CSMSPaid,Month29_CSMSPaid,Month30_CSMSPaid,Month31_CSMSPaid,Month32_CSMSPaid,Month33_CSMSPaid,Month34_CSMSPaid,Month35_CSMSPaid
B6YD,640027,2,1,18,111111-100111-101111-111110,SSD, , , ,0,1/30/2015,15.23,35,1,0,1,30,9,2,3,0.678069444,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,0,0,1.6,7.99,8.64,1.89,0,30,30,30,30,30,30,18.09,30,30,0
B6YD,642626,2,1,18,000000-010101-111111-111101, , ,SRVY, ,1, ,15.17,34,1,1,1,75,11,7,4,0.488038889,62.28,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.52,0,23.73,0,75,75,75,75,75,75,75,75,75,75,20.76,0,42.46
B6YD,642762,2,1,18,101111-001100-001100-010000, , , , ,0,10/10/2018,15.17,38,1,0,0,383,4,4,5,0.141974543,0,0,96.51,272.58,214.36,151.26,214.04,82.22,118.3,213.09,215.42,3.35,0,114.72,383,22.78,106.35,0,0,26.8,72.02,0,0,0,0,214.66,106.06,0,0,0,255.29,0,0,0,0
B6YD,645519,2,1,18,101001-100110-110111-001010, , ,WITH, ,0,11/19/2014,15.09,39,1,0,0,36,3,2,8,0.511811024,30,0,0,30,30,0,30,30,0,0,30,30,0,30,0,0,30,30,0,0,30,30,0,30,30,0,30,30,30,0,0,30,0,30,0
B6YD,645974,2,1,12,111111-110000-000000-001100, , , , ,0,1/10/2019,15.08,37,1,0,1,337,8,12,2,0.306162216,202.2,134.8,134.8,134.8,134.8,134.8,134.8,134.8,202.2,134.8,134.8,202.2,67.4,194.39,337,67.4,337,337,259.85,0,0,0,0,0,0,0,0,0,0,0,0,337,337,0,0
B6YD,648032,2,1,18,111100-100101-111100-001111, , , , ,1,2/21/2019,15.02,38,1,0,0,254,5,4,4,0.472523256,0,0,0,0,0,0,0,0,0,0,70.33,171.99,75.62,254,154.73,0,0,17.59,0,0,140.97,0,254,254,251.02,139.6,78.27,0,0,0,0,233.99,254,77.32,81.12
B6YD,649212,2,1,18,110000-000000-000000-000000, , ,SANC, ,0,5/8/2017,15,37,1,0,0,225,2,22,1,0.080809259,0,225,225,225,225,221.92,0,0,0,124.61,225,225,211.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,655585,2,1,12,000000-110101-100000-111100, , , ,HEAR,0,2/4/2019,14.81,38,1,0,1,112.26,4,6,5,0.333296217,0,0,0,0,0,112.26,0,0,100,0,112.26,0,0,0,0,0,0,112.26,112.26,0,112.26,0,112.26,112.26,0,0,0,0,0,31.08,112.26,112.26,81.08,0,0
B6YD,659152,2,1,12,000000-010000-000001-101111, , , , ,1, ,14.69,33,1,0,1,345,4,9,3,0.136216184,0,0,0,0,0,0,0,191.07,191.07,0,0,0,0,0,0,0,0,0,66.43,0,0,0,0,0,0,0,0,0,49.15,66.99,0,170.09,345,200.91,229.3
B6YD,659299,2,1,12,000000-000000-111111-111110, , , , ,1, ,14.72,45,1,0,0,30,11,12,2,0.1675,30,30,22.96,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10,12,11.4,17.4,12,11.4,12,12,11.4,10.2,0
B6YD,663076,2,1,18,100100-111111-100110-000111, , , , ,1, ,14.6,36,1,0,1,255,7,4,4,0.834804382,255,141.23,255,141.22,255,255,70.61,141.22,255,255,255,255,0,0,139,0,0,30,171.22,211.83,255,141.23,255,90.86,0,0,211.83,255,0,0,0,0,141.23,255,255
B6YD,669787,2,1,12,000000-000011-110000-000000, , ,SANC, ,0,5/3/2018,10.84,44,1,0,1,175,4,10,2,0.154521429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,124.17,175,174.82,0,0,0,0,0,0,0,0,0,0
B6YD,676022,2,1,18,000000-011100-001000-111111, , , , ,0,11/9/2017,6.25,37,1,1,0,493,6,7,3,0.394431143,229,229,229,229,229,0,229,229,229,229,229,0,0,0,0,0,0,0,493,493,500,0,0,0,0,68.78,0,0,0,230.61,493,493,493,493,493
B6YD,677503,2,1,18,000111-111001-111100-000110, , , , ,1, ,11.1,34,1,0,0,20,6,5,4,0.429916667,20,20,20,20,20,20,0,20,20,20,20,0,0,0,11.06,20,16.59,20,11.06,11.06,0,0,5.53,20,20,20,11.06,0,0,0,0,0,20,20,0
B6YD,682884,2,1,12,000100-000000-000100-000000, , ,SANC, ,0,7/29/2015,14.07,44,1,0,0,210,1,11,3,0.083333333,0,0,0,210,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0
B6YD,683273,2,1,18,111000-000000-000100-011100, , , , ,0,12/18/2018,10.84,35,1,0,1,606,3,12,3,0.152022118,576.73,576.73,576.73,576.73,576.73,576.73,576.73,576.73,576.73,532.57,576.73,576.73,152.09,42.74,0,0,0,0,0,0,0,0,0,0,0,0,55.18,0,0,0,606,606,167.82,0,0
B6YD,689745,2,1,12,100001-011111-111100-011100, , , , ,0,2/7/2019,13.89,39,1,1,1,216,9,4,4,0.508966049,265.84,166.16,199.36,232.64,49.84,0,0,0,0,0,179.43,216,0,0,0,0,119.62,0,216,216,216,216,59.81,216,216,216,179.43,0,0,0,119.62,216,216,0,0
B6YD,696020,2,1,11,000000-000000-000001-100000, , ,SANC, ,0,10/17/2018,13.72,42,1,0,1,33.34,2,17,2,0.111854552,50,35.1,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.34,15.14,0,0,0,0,0
B6YD,696283,2,1,12,111111-101111-110101-101010, , , , ,0,4/29/2016,13.72,35,0,1,0,86.66,7,1,6,0.791666667,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,0,86.66,86.66,86.66,86.66,86.66,86.66,0,86.66,0,86.66,86.66,0,173.34,0,86.64,0
B6YD,696419,2,1,18,011111-100111-111110-111111, , , , ,2, ,12.04,35,1,0,1,20,8,2,3,0.3291875,0,0,20,20,20,20,0,0,0,0,0,0,0.07,0.09,0.1,0.62,7.85,6.62,0,0,0.98,4.06,4.57,4.61,5.04,5.51,6.84,5.32,0,20,20,20,20,20,5.73
B6YD,699045,2,1,18,010000-000000-000000-000110, , , , ,0,9/26/2017,12.37,45,1,0,0,30,2,19,3,0.116106524,15,15,15,15,15,256,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37,16.84,0
B6YD,703123,2,1,18,001000-000000-010100-010001, ,Y,SANC, ,0,6/4/2013,13.52,34,0,0,0,50,1,10,5,0.420833333,50,50,0,0,0,0,0,50,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,50,0,0,0,50
B6YD,703657,2,1,12,000000-100000-000000-000000, ,Y,CONF, ,0,10/7/2015,13.52,47,1,0,1,380,1,17,2,0.055276382,0,0,380,138.84,0,0,0,30,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,704441,2,1,18,000000-000000-000000-000011, , , , ,1, ,13.49,35,1,0,1,30,2,22,1,0.034611111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31,16.61
B6YD,704689,2,1,18,111111-111111-111000-000000, , ,SANC, ,1,10/5/2018,13.48,38,1,0,1,50,15,9,1,0.594866667,50,0,0,0,0,27.69,27.69,0,0,41.52,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,13.84,0,0,0,0,0,0,0,0,0
B6YD,705376,2,1,18,111111-100000-000000-000011, , , , ,1, ,11.04,36,1,0,1,20,7,15,1,0.289,0,0,0,0,0,0,0,0,0,0,0,5.53,20,20,20,20,5.53,16.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,20
B6YD,708072,2,1,18,111111-000111-111111-100000, , ,SANC, ,0,9/20/2018,7.96,39,1,0,1,114,10,5,2,0.554627193,0,0,0,0,0,0,0,0,31.56,114,114,114,94.68,114,114,94.68,63.12,0,0,0,60.18,114,114,63.13,114,52.61,114,133.23,105.22,52.61,0,0,0,0,0
B6YD,709182,2,1,18,000100-000000-100011-000100, , ,CONF, ,0,1/27/2014,8.54,38,1,0,1,50,2,8,5,0.199725,50,50,0,0,0,50,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,39.67,50,0,0,0,50,0,0
B6YD,712111,2,1,18,111101-010011-111111-110111, , , , ,1, ,13.3,38,1,1,0,345,10,2,4,0.73057971,345,200,200,0,0,286.59,345,345,286.59,345,345,345,250,335,345,0,345,0,300,0,0,345,345,345,270.67,318.44,345,318.44,345,318.44,318.44,0,286.59,286.59,286.59
B6YD,715313,2,1,18,100000-000000-000000-111000, , ,SANC, ,0,2/21/2019,10.57,38,1,0,0,287,3,17,2,0.12850108,200,100,200,100,100,287,287,287,287,0,200,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,238.44,80,0,0,0
B6YD,726917,2,1,12,001111-111101-111111-110111, , , , ,1,8/7/2014,12.89,31,1,0,1,114,9,2,3,0.838680556,114,114,114,114,148.73,115.72,106.24,131.5,125.2,105.2,26.3,0,0,114,114,114,114,114,114,114,114,0,114,114,120.03,131.5,105.2,131.5,105.2,105.2,131.5,0,105.2,114,105.3
B6YD,727744,2,1,18,000111-111111-001111-100000, , ,SRVY, ,1, ,12.86,46,1,0,1,213.7,9,5,3,0.521398768,295.89,197.26,197.26,197.26,197.26,295.89,197.26,197.26,197.26,153.63,98.63,0,0,0,213.7,118.35,213.7,213.7,213.7,213.7,213.7,213.7,118.35,0,0,213.7,118.35,182.1,213.7,213.7,0,0,0,0,0
B6YD,734090,2,1,12,100101-111111-001111-110011, , ,WITH, ,1,10/31/2018,11.49,36,1,0,1,650.16,7,2,4,0.588139843,489,489,489,489,489,215.83,135.41,168.81,180.04,360.08,650.16,360.08,0,0,360.08,0,360.08,650.16,650.16,650.16,650.16,650.16,650.16,0,0,401.04,650.16,584.24,650.16,650.16,360.08,0,0,360.08,540.12
B6YD,736087,2,1,18,010000-000000-000000-000000, , ,SANC, ,0,8/22/2016,12.61,35,1,0,1,30,1,22,2,0.02009319,14.92,0,0,0,0,0,0,10,0,0,0,0,56.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,736561,2,1,18,000000-000111-111000-011111, , , , ,1, ,12.59,44,1,0,0,80,6,9,2,0.097713542,0,0,71.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,15.46,18.67,18.92,17.31,15.97,0,0,0,0,5.07,5.65,6.44,2.01,80
B6YD,739080,2,1,18,101000-000000-000000-000000, , ,SANC, ,0,5/9/2018,12.52,31,1,0,1,30,1,21,2,0.083333333,0,0,0,0,8.77,0,0,30,30,30,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,739539,2,1,12,111110-000000-000001-111110, , , , ,1, ,12.51,31,0,0,1,30,6,12,2,0.421111111,0,30,30,30,0,0,0,0,0,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,16.6,30,30,30,30,16.6,0
B6YD,742561,2,1,18,111000-101111-010101-011101, , , , ,0,5/22/2017,12.38,39,1,0,0,500,4,3,7,0.625,0,0,0,0,0,0,0,0,0,0,500,500,500,500,0,0,0,500,0,500,500,500,500,0,500,0,500,0,500,0,500,500,500,0,500
B6YD,748712,2,1,12,000100-010000-100010-000010, , , , ,0,9/12/2014,12.26,39,1,0,1,30,1,5,6,0.208333333,0,30,0,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,30,0,0,0,0,0,30,0
B6YD,749158,2,1,12,111111-000000-000000-000000, , , , ,0,10/3/2017,12.24,33,1,0,1,145,6,18,1,0.066750476,30,30,30,0,41.42,50,38.16,44.71,48.39,16.68,0,30,30,30,21.29,36.33,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,750387,2,1,18,111010-111001-000100-010000, , ,SANC, ,0,8/16/2017,12.22,54,1,0,1,30,3,4,6,0.254696517,0,0,0,0,0,0,460,0,0,0,0,1.94,270,30,0,30,0,30,30,30,0,0,30,0,0,0,30,0,0,0,30,0,0,0,0
B6YD,752408,2,1,18,000111-111101-110001-111111, , , , ,1, ,10.91,39,1,0,0,83,7,3,3,0.693659639,0,0,0,0,0,0,16.11,83,83,83,0,0,0,0,83,83,83,83,83,83,83,0,83,83,83,0,0,0,53.77,83,83,83,83,83,83
B6YD,754571,2,1,18,000000-000000-001110-111100, , , , ,1, ,6.68,35,1,0,1,35,4,14,3,0.153119048,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.76,31.97,7.88,0,13.65,19.98,23.2,5.18,0,0
B6YD,762975,2,1,18,001111-111111-110110-000000, , ,SANC, ,0,6/6/2018,11.82,36,1,0,1,30,12,7,3,0.522375,30,30,30,0,0,0,0,0,0,0,0,0,0,30,30,30,30,24.92,30,30,24.92,30,30,24.92,24.92,0,19.82,16.61,0,0,0,0,0,0,0
B6YD,763134,2,1,12,001011-111111-111111-101011, , , , ,0,11/20/2018,11.84,46,1,1,1,258,15,2,4,0.76623385,0,0,0,142.88,0,0,0,1.21,0,0,0,0,0,100.52,0,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,0,258,0,258,258
B6YD,763799,2,1,18,000000-000110-000000-000000, , ,SANC, ,0,2/18/2019,11.83,34,1,0,1,30,2,13,2,0.083333333,13.84,30,13.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,767112,2,1,18,000000-000000-000000-001010, , , ,HEAR,0,12/15/2016,5.74,37,1,0,1,868,1,20,3,0.011345072,0,0,0,0,0,0,0,364.27,54.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,200,0
B6YD,767513,2,1,18,110001-111111-111100-001111, , , , ,1, ,11.71,34,1,0,1,208,11,4,2,0.623717949,192,192,192,208,96,0,0,0,0,0,48,115.2,115.2,0,0,0,115.2,208,208,208,208,208,208,208,192,192,96,0,0,0,0,208,208,208,208
B6YD,770716,2,1,18,010000-000000-000000-000000, , ,CONF, ,0,1/22/2019,11.63,34,1,0,1,30,1,22,2,0.007194444,0,0,0,0,0,0.52,6.3,8.58,14.08,5.07,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,788896,2,1,12,111111-101111-110000-000000, , ,SANC, ,0,7/31/2018,11.09,46,1,0,1,173.5,7,10,2,0.534610951,0,0,0,0,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,0,173.5,144.12,173.5,173.5,173.5,173.5,0,0,0,0,0,0,0,0,0,0
B6YD,792624,2,1,12,000000-000010-000000-000000, , , , ,0,10/5/2011,10.97,38,1,0,1,30,1,13,2,0.543478261,100,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,795474,2,1,18,110001-110111-110011-111100, , , , ,1,1/16/2019,6.44,40,1,0,1,507.89,6,3,4,0.51784261,44.25,0,0,0,0,0,0,0,0,0,0,100.63,102.93,0,0,0,507.89,238.59,278.95,0,507.89,241.33,431.82,489.99,494.36,0,0,507.89,507.89,507.89,507.89,507.89,378.34,0,0
B6YD,796956,2,1,18,000000-000111-000000-000000, , ,SANC, ,0,6/29/2018,10.84,40,0,0,1,220,3,12,2,0.106409091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,220,121.84,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,796983,2,1,12,001111-100000-001111-010110, , , , ,2, ,10.86,36,1,0,1,50,5,7,5,0.395,50,50,50,50,50,50,50,50,50,41.52,0,0,0,50,50,50,50,41.52,0,0,0,0,0,0,0,13.84,41.52,50,50,0,7.92,0,27.68,41.52,0
B6YD,797675,2,1,12,100001-011101-111100-000000, , ,SANC, ,0,12/28/2017,10.83,35,1,0,1,239,5,8,4,0.344616457,66.18,239,239,239,239,239,239,239,66.18,239,239,66.18,0,0,0,0,132.36,0,239,239,162.36,0,239,239,239,275.75,145.07,0,0,0,0,0,0,0,0
B6YD,800065,2,1,12,001101-000000-000000-000001, , , , ,0,2/19/2019,10.76,39,1,1,1,350,2,17,3,0.663175,300,350,350,0,350,0,350,0,100,0,0,0,0,1.02,350,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5049.65
B6YD,806153,2,1,18,100001-111000-000000-000000, , , ,HEAR,1, ,10.53,37,1,1,1,30,4,15,2,0.147958333,0,8.3,18.64,0,0,0,8.3,30,0,0,30,13.32,0,0,0,0,30,24.91,30,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,807900,2,1,18,000000-001100-000001-001111, , , , ,2, ,5.76,34,1,0,0,114,4,8,3,0.154820906,63.14,114,114,114,18.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.76,30.76,0,0,0,0,0,0,0,0.08,0,0,19.43,114,114,88.56
B6YD,809575,2,1,12,000000-000000-000000-000111, , , ,HEAR,0,12/6/2006,10.44,40,1,1,1,212,3,21,1,0.107760081,286,286,286,286,286,286,286,286,286,158.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,212,212
B6YD,811071,2,1,18,000011-111111-111000-111110,SSD, , , ,1, ,10.42,47,0,0,0,30,11,4,3,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,0,0,0,30,30,30,30,30,0
B6YD,812510,2,1,18,111111-111100-011000-001100, , , , ,0,12/31/2018,10.37,43,1,1,1,400,10,5,3,0.516917708,404.88,400,0,0,0,400,0,0,0,0,0,400,400,400,400,400,400,400,271.41,400,221.52,0,0,0,400,252.98,0,0,0,0,0,400,216.5,0,0
B6YD,821643,2,1,18,111110-010101-011111-110001, ,Y,WITH, ,1,7/19/2017,10.11,40,0,0,0,50,7,3,5,0.584729323,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,27.69,0,0,50,0,50,0,50,0,50,50,50,50,50,50,50,0,0,0,50
B6YD,827027,2,1,18,000000-000110-000000-000000, , , , ,0,2/18/2019,9.95,34,1,0,1,30,2,13,2,0.083333333,13.84,30,13.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,830433,2,1,11,111111-101111-110000-000000, , , , ,0,7/31/2018,9.88,46,1,0,1,173.5,7,10,2,0.534610951,0,0,0,0,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,0,173.5,144.12,173.5,173.5,173.5,173.5,0,0,0,0,0,0,0,0,0,0
B6YD,830438,2,1,11,111101-010101-110111-011011, , , , ,0,2/23/2017,9.88,41,0,0,0,60,4,1,7,0.738993056,60,0,60,60,60,60,60,60,60,60,33.23,60,44.15,60,60,0,60,0,60,0,60,0,60,60,120,0,60,60,60,0,60,60,0,60,60
B6YD,831100,2,1,12,100001-000100-010010-010010, ,Y, , ,0,1/22/2015,8.58,48,1,1,1,85,1,4,7,0.421568627,0,0,0,85,0,0,0,170,0,0,0,95,0,0,0,0,85,0,0,0,85,0,0,0,255,0,0,170,0,0,85,0,0,85,0
B6YD,836740,2,1,12,111111-111111-010001-111111, , , , ,1, ,7.91,40,1,0,1,70,12,3,2,0.833333333,70,70,70,70,70,70,70,70,58.14,0,0,70,70,70,70,70,70,70,70,70,70,70,70,0,70,0,0,0,70,70,70,70,70,70,70
B6YD,837642,2,1,12,000000-111100-000000-000000, , ,SANC, ,0,7/17/2018,9.65,30,1,0,1,30,4,14,2,0.129444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,30,30,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
